transaction_id,customer_id,product_id,product_name,category,price,quantity,discount,date,region,sale_date,total_value,discount_amount,revenue_tier
T0001,C032,P05,Desk,Furniture,189.0,7,0.05,2023-12-14T00:00:00Z,East,2023-12-14,1256.85,66.15,Standard
T0002,C064,P01,Laptop,Electronics,999.99,9,0.2,2023/10/30 00:00:00,South,2023-10-30,7199.93,1799.98,Premium
T0003,C041,P05,Desk,Furniture,189.0,8,0.15,2023-06-26,South,2023-06-26,1285.2,226.8,Standard
T0004,C027,P07,Webcam,Electronics,79.99,9,0.0,2023-03-08T00:00:00Z,West,2023-03-08,719.91,0.0,Standard
T0005,C026,P04,Keyboard,Accessories,49.9,3,0.05,2023/06/28 00:00:00,South,2023-06-28,142.21,7.48,Basic
T0006,C055,P02,Mouse,Accessories,19.99,4,0.05,2023/05/18 00:00:00,West,2023-05-18,75.96,4.0,Basic
T0007,C002,P02,Mouse,Accessories,19.99,2,0.0,2023/12/03 00:00:00,North,2023-12-03,39.98,0.0,Basic
T0008,C097,P06,Chair,Furniture,249.0,10,0.1,2023-02-01,North,2023-02-01,2241.0,249.0,Premium
T0009,UNKNOWN,P02,Mouse,Accessories,19.99,5,0.0,2023-04-18,West,2023-04-18,99.95,0.0,Basic
T0010,C005,P08,Headset,Accessories,59.99,9,0.15,2023/07/28 00:00:00,North,2023-07-28,458.92,80.99,Basic
T0011,C047,P08,Headset,Accessories,59.99,4,0.0,2023/10/27 00:00:00,South,2023-10-27,239.96,0.0,Basic
T0012,UNKNOWN,P04,Keyboard,Accessories,49.9,4,0.05,2023/02/16 00:00:00,North,2023-02-16,189.62,9.98,Basic
T0013,C034,P01,Laptop,Electronics,999.99,7,0.1,2023-07-26T00:00:00Z,West,2023-07-26,6299.94,699.99,Premium
T0014,C057,P08,Headset,Accessories,59.99,1,0.15,2023-05-23,West,2023-05-23,50.99,9.0,Basic
T0015,C049,P04,Keyboard,Accessories,49.9,9,0.0,2023/01/28 00:00:00,North,2023-01-28,449.1,0.0,Basic
T0016,C037,P06,Chair,Furniture,249.0,3,0.1,2023-09-10,South,2023-09-10,672.3,74.7,Standard
T0017,C048,P02,Mouse,Accessories,19.99,5,0.05,2023-05-25,West,2023-05-25,94.95,5.0,Basic
T0018,C001,P03,Monitor,Electronics,299.5,10,0.0,2023-06-23,North,2023-06-23,2995.0,0.0,Premium
T0019,C085,P05,Desk,Furniture,189.0,4,0.0,2023/02/24 00:00:00,South,2023-02-24,756.0,0.0,Standard
T0020,C043,P02,Mouse,Accessories,19.99,10,0.1,2023-01-05T00:00:00Z,West,2023-01-05,179.91,19.99,Basic
T0021,C094,P05,Desk,Furniture,189.0,9,0.1,2023/07/11 00:00:00,East,2023-07-11,1530.9,170.1,Standard
T0022,C050,P01,Laptop,Electronics,999.99,4,0.1,2023-03-06,South,2023-03-06,3599.96,400.0,Premium
T0023,C046,P08,Headset,Accessories,59.99,10,0.1,2023/04/15 00:00:00,South,2023-04-15,539.91,59.99,Standard
T0024,C036,P03,Monitor,Electronics,299.5,7,0.05,2023-11-13T00:00:00Z,East,2023-11-13,1991.68,104.82,Standard
T0025,C009,P02,Mouse,Accessories,19.99,9,0.1,2023/08/16 00:00:00,East,2023-08-16,161.92,17.99,Basic
T0026,C031,P08,Headset,Accessories,59.99,5,0.0,2023/11/16 00:00:00,East,2023-11-16,299.95,0.0,Basic
T0027,C091,P03,Monitor,Electronics,299.5,3,0.0,2023-08-20T00:00:00Z,South,2023-08-20,898.5,0.0,Standard
T0028,C092,P06,Chair,Furniture,249.0,9,0.0,2023-11-01T00:00:00Z,East,2023-11-01,2241.0,0.0,Premium
T0029,C065,P04,Keyboard,Accessories,49.9,3,0.0,2023-10-04T00:00:00Z,North,2023-10-04,149.7,0.0,Basic
T0030,C004,P06,Chair,Furniture,249.0,9,0.05,2023-02-03T00:00:00Z,North,2023-02-03,2128.95,112.05,Premium
T0031,C023,P06,Chair,Furniture,249.0,9,0.15,2023-06-18,West,2023-06-18,1904.85,336.15,Standard
T0032,C087,P05,Desk,Furniture,189.0,4,0.0,2023/03/01 00:00:00,West,2023-03-01,756.0,0.0,Standard
T0033,C033,P07,Webcam,Electronics,79.99,3,0.0,2023-07-09T00:00:00Z,North,2023-07-09,239.97,0.0,Basic
T0034,C090,P06,Chair,Furniture,249.0,8,0.0,2023/02/03 00:00:00,East,2023-02-03,1992.0,0.0,Standard
T0035,C051,P02,Mouse,Accessories,19.99,2,0.2,2023-05-06T00:00:00Z,West,2023-05-06,31.98,8.0,Basic
T0036,C026,P05,Desk,Furniture,189.0,2,0.1,2023-01-31,East,2023-01-31,340.2,37.8,Basic
T0037,C044,P06,Chair,Furniture,249.0,3,0.15,2023/11/15 00:00:00,West,2023-11-15,634.95,112.05,Standard
T0038,C030,P06,Chair,Furniture,249.0,3,0.0,2023-09-16,East,2023-09-16,747.0,0.0,Standard
T0039,C100,P05,Desk,Furniture,189.0,10,0.1,2023/10/07 00:00:00,South,2023-10-07,1701.0,189.0,Standard
T0040,C096,P03,Monitor,Electronics,299.5,5,0.05,2023-08-07,North,2023-08-07,1422.62,74.88,Standard
T0041,C082,P06,Chair,Furniture,249.0,4,0.0,2023-02-12,North,2023-02-12,996.0,0.0,Standard
T0042,C079,P04,Keyboard,Accessories,49.9,1,0.2,2023-01-14,South,2023-01-14,39.92,9.98,Basic
T0043,C031,P05,Desk,Furniture,189.0,7,0.05,2023/09/21 00:00:00,North,2023-09-21,1256.85,66.15,Standard
T0044,C073,P05,Desk,Furniture,189.0,7,0.15,2023-06-04,West,2023-06-04,1124.55,198.45,Standard
T0045,C085,P06,Chair,Furniture,249.0,8,0.0,2023-12-14,West,2023-12-14,1992.0,0.0,Standard
T0046,C064,P07,Webcam,Electronics,79.99,2,0.15,2023-06-11,West,2023-06-11,135.98,24.0,Basic
T0047,C096,P08,Headset,Accessories,59.99,2,0.05,2023/10/06 00:00:00,East,2023-10-06,113.98,6.0,Basic
T0048,C080,P01,Laptop,Electronics,999.99,4,0.0,2023/10/19 00:00:00,West,2023-10-19,3999.96,0.0,Premium
T0049,C083,P04,Keyboard,Accessories,49.9,4,0.0,2023-11-05T00:00:00Z,North,2023-11-05,199.6,0.0,Basic
T0050,C077,P06,Chair,Furniture,249.0,7,0.1,2023-06-11T00:00:00Z,East,2023-06-11,1568.7,174.3,Standard
T0051,C067,P06,Chair,Furniture,249.0,3,0.2,2023-10-13,East,2023-10-13,597.6,149.4,Standard
T0053,C069,P04,Keyboard,Accessories,49.9,6,0.05,2023/09/07 00:00:00,West,2023-09-07,284.43,14.97,Basic
T0054,C028,P04,Keyboard,Accessories,49.9,7,0.1,2023-04-11,South,2023-04-11,314.37,34.93,Basic
T0055,UNKNOWN,P03,Monitor,Electronics,299.5,2,0.2,2023/08/25 00:00:00,West,2023-08-25,479.2,119.8,Basic
T0056,C078,P08,Headset,Accessories,59.99,2,0.05,2023/12/30 00:00:00,East,2023-12-30,113.98,6.0,Basic
T0057,C042,P06,Chair,Furniture,249.0,10,0.0,2023/08/25 00:00:00,North,2023-08-25,2490.0,0.0,Premium
T0058,C093,P07,Webcam,Electronics,79.99,5,0.2,2023/11/21 00:00:00,East,2023-11-21,319.96,79.99,Basic
T0059,C025,P05,Desk,Furniture,189.0,9,0.15,2023-01-17T00:00:00Z,East,2023-01-17,1445.85,255.15,Standard
T0060,C037,P04,Keyboard,Accessories,49.9,8,0.15,2023-06-16,North,2023-06-16,339.32,59.88,Basic
T0061,C057,P03,Monitor,Electronics,299.5,7,0.05,2023-01-13T00:00:00Z,West,2023-01-13,1991.68,104.82,Standard
T0062,C083,P08,Headset,Accessories,59.99,1,0.05,2023-02-22T00:00:00Z,North,2023-02-22,56.99,3.0,Basic
T0063,C066,P06,Chair,Furniture,249.0,9,0.0,2023-12-14,West,2023-12-14,2241.0,0.0,Premium
T0064,C076,P06,Chair,Furniture,249.0,3,0.0,2023-03-07T00:00:00Z,North,2023-03-07,747.0,0.0,Standard
T0065,C049,P05,Desk,Furniture,189.0,2,0.0,2023/02/07 00:00:00,North,2023-02-07,378.0,0.0,Basic
T0066,C067,P02,Mouse,Accessories,19.99,2,0.2,2023-02-27,East,2023-02-27,31.98,8.0,Basic
T0067,C072,P07,Webcam,Electronics,79.99,1,0.15,2023-06-24T00:00:00Z,East,2023-06-24,67.99,12.0,Basic
T0068,C035,P07,Webcam,Electronics,79.99,8,0.1,2023/03/28 00:00:00,North,2023-03-28,575.93,63.99,Standard
T0069,C045,P06,Chair,Furniture,249.0,4,0.0,2023-11-05,North,2023-11-05,996.0,0.0,Standard
T0071,C041,P08,Headset,Accessories,59.99,1,0.15,2023/09/18 00:00:00,East,2023-09-18,50.99,9.0,Basic
T0072,C083,P02,Mouse,Accessories,19.99,1,0.0,2023-08-25,South,2023-08-25,19.99,0.0,Basic
T0073,C028,P07,Webcam,Electronics,79.99,2,0.0,2023-04-22,North,2023-04-22,159.98,0.0,Basic
T0074,C065,P02,Mouse,Accessories,19.99,9,0.05,2023/07/23 00:00:00,West,2023-07-23,170.91,9.0,Basic
T0075,C051,P04,Keyboard,Accessories,49.9,1,0.05,2023/03/27 00:00:00,South,2023-03-27,47.4,2.5,Basic
T0076,C013,P04,Keyboard,Accessories,49.9,3,0.2,2023/12/05 00:00:00,North,2023-12-05,119.76,29.94,Basic
T0077,C046,P07,Webcam,Electronics,79.99,1,0.15,2023-06-20,North,2023-06-20,67.99,12.0,Basic
T0078,C063,P05,Desk,Furniture,189.0,8,0.1,2023-11-18,North,2023-11-18,1360.8,151.2,Standard
T0079,C009,P07,Webcam,Electronics,79.99,10,0.0,2023/07/07 00:00:00,South,2023-07-07,799.9,0.0,Standard
T0080,C072,P01,Laptop,Electronics,999.99,3,0.0,2023/10/30 00:00:00,West,2023-10-30,2999.97,0.0,Premium
T0081,C039,P08,Headset,Accessories,59.99,8,0.2,2023-04-15T00:00:00Z,East,2023-04-15,383.94,95.98,Basic
T0082,C079,P05,Desk,Furniture,189.0,4,0.1,2023-12-18T00:00:00Z,North,2023-12-18,680.4,75.6,Standard
T0083,C037,P07,Webcam,Electronics,79.99,10,0.0,2023-02-15,West,2023-02-15,799.9,0.0,Standard
T0084,C069,P05,Desk,Furniture,189.0,7,0.2,2023/08/05 00:00:00,East,2023-08-05,1058.4,264.6,Standard
T0085,C064,P01,Laptop,Electronics,999.99,2,0.05,2023-06-18,West,2023-06-18,1899.98,100.0,Standard
T0086,C074,P02,Mouse,Accessories,19.99,5,0.2,2023-12-03T00:00:00Z,South,2023-12-03,79.96,19.99,Basic
T0087,C053,P02,Mouse,Accessories,19.99,1,0.0,2023-07-23,South,2023-07-23,19.99,0.0,Basic
T0088,C057,P05,Desk,Furniture,189.0,9,0.15,2023/08/30 00:00:00,East,2023-08-30,1445.85,255.15,Standard
T0089,UNKNOWN,P02,Mouse,Accessories,19.99,10,0.1,2023-08-29,East,2023-08-29,179.91,19.99,Basic
T0090,C076,P01,Laptop,Electronics,999.99,2,0.2,2023-09-07T00:00:00Z,West,2023-09-07,1599.98,400.0,Standard
T0091,C048,P01,Laptop,Electronics,999.99,6,0.0,2023-11-03,South,2023-11-03,5999.94,0.0,Premium
T0092,C013,P02,Mouse,Accessories,19.99,6,0.0,2023/07/28 00:00:00,South,2023-07-28,119.94,0.0,Basic
T0093,C015,P03,Monitor,Electronics,299.5,2,0.0,2023/11/21 00:00:00,South,2023-11-21,599.0,0.0,Standard
T0094,C013,P07,Webcam,Electronics,79.99,7,0.0,2023/04/21 00:00:00,South,2023-04-21,559.93,0.0,Standard
T0095,C061,P06,Chair,Furniture,249.0,4,0.2,2023-09-08T00:00:00Z,West,2023-09-08,796.8,199.2,Standard
T0096,C084,P03,Monitor,Electronics,299.5,8,0.15,2023-08-15,East,2023-08-15,2036.6,359.4,Premium
T0097,C078,P06,Chair,Furniture,249.0,1,0.0,2023-03-21T00:00:00Z,South,2023-03-21,249.0,0.0,Basic
T0098,C082,P01,Laptop,Electronics,999.99,3,0.0,2023-04-06T00:00:00Z,South,2023-04-06,2999.97,0.0,Premium
T0099,C095,P04,Keyboard,Accessories,49.9,1,0.05,2023-02-22T00:00:00Z,North,2023-02-22,47.4,2.5,Basic
T0100,C060,P01,Laptop,Electronics,999.99,1,0.2,2023-07-11T00:00:00Z,North,2023-07-11,799.99,200.0,Standard
T0101,C013,P05,Desk,Furniture,189.0,5,0.05,2023-02-22,West,2023-02-22,897.75,47.25,Standard
T0102,C040,P05,Desk,Furniture,189.0,2,0.05,2023-11-26,South,2023-11-26,359.1,18.9,Basic
T0103,C005,P05,Desk,Furniture,189.0,1,0.05,2023/05/11 00:00:00,North,2023-05-11,179.55,9.45,Basic
T0104,C004,P05,Desk,Furniture,189.0,10,0.1,2023-04-27,East,2023-04-27,1701.0,189.0,Standard
T0105,C047,P05,Desk,Furniture,189.0,8,0.05,2023-09-17T00:00:00Z,South,2023-09-17,1436.4,75.6,Standard
T0106,UNKNOWN,P03,Monitor,Electronics,299.5,8,0.15,2023-07-07,East,2023-07-07,2036.6,359.4,Premium
T0107,UNKNOWN,P07,Webcam,Electronics,79.99,3,0.05,2023-09-07,South,2023-09-07,227.97,12.0,Basic
T0108,C025,P08,Headset,Accessories,59.99,2,0.05,2023-07-15,West,2023-07-15,113.98,6.0,Basic
T0109,C022,P05,Desk,Furniture,189.0,1,0.2,2023-11-02T00:00:00Z,North,2023-11-02,151.2,37.8,Basic
T0110,C090,P04,Keyboard,Accessories,49.9,1,0.1,2023/02/19 00:00:00,West,2023-02-19,44.91,4.99,Basic
T0111,C079,P02,Mouse,Accessories,19.99,7,0.2,2023/05/19 00:00:00,North,2023-05-19,111.94,27.99,Basic
T0112,C006,P08,Headset,Accessories,59.99,7,0.1,2023/06/11 00:00:00,South,2023-06-11,377.94,41.99,Basic
T0113,C004,P03,Monitor,Electronics,299.5,2,0.2,2023-09-11T00:00:00Z,North,2023-09-11,479.2,119.8,Basic
T0114,C068,P06,Chair,Furniture,249.0,8,0.05,2023/06/13 00:00:00,East,2023-06-13,1892.4,99.6,Standard
T0115,C099,P04,Keyboard,Accessories,49.9,6,0.0,2023/01/02 00:00:00,East,2023-01-02,299.4,0.0,Basic
T0116,C099,P01,Laptop,Electronics,999.99,6,0.1,2023-04-16T00:00:00Z,North,2023-04-16,5399.95,599.99,Premium
T0117,C080,P01,Laptop,Electronics,999.99,7,0.15,2023-04-24,West,2023-04-24,5949.94,1049.99,Premium
T0118,C035,P01,Laptop,Electronics,999.99,3,0.1,2023-10-04,North,2023-10-04,2699.97,300.0,Premium
T0119,C013,P08,Headset,Accessories,59.99,8,0.2,2023-10-07T00:00:00Z,East,2023-10-07,383.94,95.98,Basic
T0120,UNKNOWN,P08,Headset,Accessories,59.99,10,0.1,2023/07/15 00:00:00,West,2023-07-15,539.91,59.99,Standard
T0121,C045,P05,Desk,Furniture,189.0,5,0.0,2023-08-08T00:00:00Z,West,2023-08-08,945.0,0.0,Standard
T0122,C098,P02,Mouse,Accessories,19.99,9,0.1,2023-05-29T00:00:00Z,West,2023-05-29,161.92,17.99,Basic
T0123,C052,P04,Keyboard,Accessories,49.9,2,0.05,2023-12-14,East,2023-12-14,94.81,4.99,Basic
